Problem Set Id,Problem Part,Problem Type,Answer Types,Problem Body,Fill-in Options,Fill-in Answers,Multiple Choice Options,Multiple Choice Answers,problem_id
PSBWAZ,2,Fill-in-the-blank(s),Numeric,"<p>Find a value for&nbsp;<em>a</em>&nbsp;that makes the statement true.</p>
<p>&nbsp;</p>
<p><em>a</em> &divide; 6 is equal to 1</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",6,6,,,103383
PSBCMS,2,Fill-in-the-blank(s),Numeric,"<p>Evaluate:</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mfenced><mfrac><mn>1</mn><mn>2</mn></mfrac></mfenced><mrow><mo>-</mo><mn>3</mn></mrow></msup></math></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",8,8,,,12381
PRABQAC2,1,Fill-in-the-blank(s),Numeric,"<p>&nbsp;</p>
<p>Find the sum without a calculator.<br><br></p>
<p><img style=""max-width: none; vertical-align: -2px;"" src=""/pluginwiris_engine/app/showimage?formula=22bbc34e01f7cb88765fd6802036c385&amp;cw=488&amp;ch=16&amp;cb=14"" width=""488"" height=""16"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mn&raquo;10&laquo;/mn&raquo;&laquo;mo&raquo;+&laquo;/mo&raquo;&laquo;mn&raquo;21&laquo;/mn&raquo;&laquo;mo&raquo;+&laquo;/mo&raquo;&laquo;mn&raquo;32&laquo;/mn&raquo;&laquo;mo&raquo;+&laquo;/mo&raquo;&laquo;mn&raquo;43&laquo;/mn&raquo;&laquo;mo&raquo;+&laquo;/mo&raquo;&laquo;mn&raquo;54&laquo;/mn&raquo;&laquo;mo&raquo;+&laquo;/mo&raquo;&laquo;mo&raquo;(&laquo;/mo&raquo;&laquo;mo&raquo;-&laquo;/mo&raquo;&laquo;mn&raquo;54&laquo;/mn&raquo;&laquo;mo&raquo;)&laquo;/mo&raquo;&laquo;mo&raquo;+&laquo;/mo&raquo;&laquo;mo&raquo;(&laquo;/mo&raquo;&laquo;mo&raquo;-&laquo;/mo&raquo;&laquo;mn&raquo;43&laquo;/mn&raquo;&laquo;mo&raquo;)&laquo;/mo&raquo;&laquo;mo&raquo;+&laquo;/mo&raquo;&laquo;mo&raquo;(&laquo;/mo&raquo;&laquo;mo&raquo;-&laquo;/mo&raquo;&laquo;mn&raquo;32&laquo;/mn&raquo;&laquo;mo&raquo;)&laquo;/mo&raquo;&laquo;mo&raquo;+&laquo;/mo&raquo;&laquo;mo&raquo;(&laquo;/mo&raquo;&laquo;mo&raquo;-&laquo;/mo&raquo;&laquo;mn&raquo;21&laquo;/mn&raquo;&laquo;mo&raquo;)&laquo;/mo&raquo;&laquo;mo&raquo;+&laquo;/mo&raquo;&laquo;mo&raquo;(&laquo;/mo&raquo;&laquo;mo&raquo;-&laquo;/mo&raquo;&laquo;mn&raquo;10&laquo;/mn&raquo;&laquo;mo&raquo;)&laquo;/mo&raquo;&laquo;/math&raquo;""></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",0,0,,,14063
PSBC62,2,Fill-in-the-blank(s),Numeric,"<p>A gas company&rsquo;s delivery truck has a cylindrical tank that is 14 feet in diameter and 40 feet long.</p>
<p>&nbsp;</p>
<p>How much gas can fit in the tank?&nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> cubic feet</p>
<p><em><span style=""font-size: 10pt;"">Use 3.14 as an approximation for pi.&nbsp; Round your answer to the nearest whole.</span></em></p>
<p>&nbsp;</p>
<p>&nbsp;</p>","6154, 6158","6154, 6158",,,15627
PSBC6R,4,Fill-in-the-blank(s),Numeric,"<p>A child&rsquo;s pass costs $15. How many dollars does an adult pass cost?&nbsp;</p>
<p>&nbsp;</p>
<p>$<ast-r type=""text"" marker=""1""></ast-r></p>",24,24,,,15569
PSBC2Q,1,Fill-in-the-blank(s),Numeric,"<p>Calculate the product. If you get stuck, draw an area diagram&nbsp;to help.</p>
<p>&nbsp;</p>
<p>(<span><span>5.6</span><span>)&nbsp;</span><span><span><span><span><span><span><span>&sdot;&nbsp;</span></span></span></span></span></span></span><span>(</span><span>1.8</span><span>)</span></span></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",10.08,10.08,,,14749
PSBC39,1,Fill-in-the-blank(s),Numeric,"<p><span><span>Calculate the product. If you get stuck, draw an area diagram&nbsp;to help.</span></span></p>
<p>&nbsp;</p>
<p><span><span>(</span><span>0.008</span><span>)&nbsp;</span><span><span><span><span><span><span><span>&sdot;&nbsp;</span></span></span></span></span></span></span><span>(</span><span>7.2</span><span>)</span></span></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",0.0576,0.0576,,,15038
PRABHX6P,1,Fill-in-the-blank(s),Numeric,"<p>A salesperson sold a car for&nbsp;$18,250 and their commission is&nbsp;$693.50. What percentage of the sale price is their commission?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r>%</p>",3.8,3.8,,,15760
PSBC4Z,3,Fill-in-the-blank(s),Numeric,"<p>Three cylinders have a volume of 2826 cm<sup>3</sup>.</p>
<p>Cylinder A has a height of 900 cm.</p>
<p>Cylinder B has a height of 225 cm.</p>
<p>Cylinder C has a height of 100 cm.</p>
<p>Find the radius of the cylinder. Use 3.14 as an approximation for <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">&#960;</mi></math>.</p>
<p>&nbsp;</p>
<p>Cylinder C has a radius of <ast-r type=""text"" marker=""1""></ast-r> cm</p>",3,3,,,15234
PSBD8C,4,Fill-in-the-blank(s),Algebraic Expression,"<p>How much will a car be worth after one year if its initial value was <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi></math> dollars?&nbsp;If you get stuck, consider using diagrams or a table to organize your work.</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> dollars</p>
<p><em><span style=""font-size: 10pt;"">Use <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi></math> as your variable.</span></em></p>",0.85x,0.85x,,,21347
PSBEBS,1,Fill-in-the-blank(s),Exact Match,"<p>Write the expression with fewer terms.&nbsp;</p>
<p>&nbsp;</p>
<p>10x&nbsp;&minus;&nbsp;2x</p>
<div style=""position: absolute; left: 287px; top: 154.6px;"">&nbsp;</div>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",8x,8x,,,21711
PSBEEZ,2,Fill-in-the-blank(s),Numeric,"<p>How far are the hurdles from one another?&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> meters</p>",9.14,9.14,,,22078
PSBEGN,1,Fill-in-the-blank(s),Numeric,"<p>Evaluate&nbsp;the expression:</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>(</mo><mo>-</mo><mn>1</mn><mo>)</mo><mo>&#160;</mo><mo>&#183;</mo><mo>&#160;</mo><mn>2</mn><mo>&#160;</mo><mo>&#183;</mo><mo>&#160;</mo><mn>3</mn></math></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",-6,-6,,,22023
PSBEED,1,Order / Sort,Ordering,"<p>Here are some scenarios:<br><br></p>
<ul>
<li>According to market research, a business has a&nbsp;75% chance of making money in the first 3 years.</li>
<li>According to lab testing,&nbsp;<img style=""max-width: none; vertical-align: -12px;"" src=""/pluginwiris_engine/app/showimage?formula=d77dda28b8fde8a539ac5c152b5410f5&amp;cw=18&amp;ch=35&amp;cb=23"" width=""18"" height=""35"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mfrac&raquo;&laquo;mn&raquo;5&laquo;/mn&raquo;&laquo;mn&raquo;6&laquo;/mn&raquo;&laquo;/mfrac&raquo;&laquo;/math&raquo;"">&nbsp;of a certain kind of experimental light bulb will work after 3 years.</li>
<li>According to experts, the likelihood of a car needing major repairs in the first 3 years is 0.7.</li>
</ul>
<p><br>Order&nbsp;the scenarios in order of&nbsp;likelihood from least (1) to greatest (3) after three years.</p>","the business makes money, the light bulb still works, the car needs major repairs","the business makes money, the light bulb still works, the car needs major repairs",,,22103
PSBEGN,2,Fill-in-the-blank(s),Numeric,"<p>Evaluate&nbsp;the&nbsp;expression:</p>
<p>&nbsp;</p>
<p><img src=""/pluginwiris_engine/app/showimage?formula=31f19316ec1f904e39751c6c249c6eeb"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mo&raquo;(&laquo;/mo&raquo;&laquo;mo&raquo;-&laquo;/mo&raquo;&laquo;mn&raquo;1&laquo;/mn&raquo;&laquo;mo&raquo;)&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#183;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;(&laquo;/mo&raquo;&laquo;mo&raquo;-&laquo;/mo&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;mo&raquo;)&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#183;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;3&laquo;/mn&raquo;&laquo;/math&raquo;""></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",6,6,,,22322
PSBEGN,3,Fill-in-the-blank(s),Numeric,"<p>Evaluate&nbsp;the&nbsp;expression:</p>
<p>&nbsp;</p>
<p><img style=""max-width: none;"" src=""/pluginwiris_engine/app/showimage?formula=b12a2caee04e18e68254c11bdaa25dd7"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mo&raquo;(&laquo;/mo&raquo;&laquo;mo&raquo;-&laquo;/mo&raquo;&laquo;mn&raquo;1&laquo;/mn&raquo;&laquo;mo&raquo;)&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#183;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;(&laquo;/mo&raquo;&laquo;mo&raquo;-&laquo;/mo&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;mo&raquo;)&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#183;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;(&laquo;/mo&raquo;&laquo;mo&raquo;-&laquo;/mo&raquo;&laquo;mn&raquo;3&laquo;/mn&raquo;&laquo;mo&raquo;)&laquo;/mo&raquo;&laquo;/math&raquo;""></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",-6,-6,,,22552
PSBESA,2,Fill-in-the-blank(s),Numeric,"<p>The equation&nbsp;<em>d = 3t</em>&nbsp;represents the relationship between the distance (<em>d</em>)&nbsp;in inches that a snail is from a certain rock and&nbsp;the time (<em>t</em>) in minutes.</p>
<p>&nbsp;</p>
<p>How many minutes does it take the snail to get 9 inches from the rock? &nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> minutes</p>",3,3,,,23822
PRABTS95,1,Fill-in-the-blank(s),Numeric,"<p>Find the area of the rectangle with the following side lengths.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>7</mn><mn>6</mn></mfrac></math> in and&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>6</mn><mn>7</mn></mfrac></math>in</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> square inch</p>",1,1,,,25949
PRABEV4K,1,Fill-in-the-blank(s),Numeric,"<p>A random sample of people were asked which hand they prefer&nbsp;to write with.</p>
<p><em>l</em>&nbsp;means they prefer to use their left hand.</p>
<p><em>r</em>&nbsp;means they prefer to use their right hand.</p>
<p>&nbsp;</p>
<p>l&nbsp; &nbsp; &nbsp;r&nbsp; &nbsp; &nbsp;r&nbsp; &nbsp; &nbsp;r&nbsp; &nbsp; &nbsp;r&nbsp; &nbsp; &nbsp;r&nbsp; &nbsp; &nbsp;r&nbsp; &nbsp; &nbsp;r&nbsp; &nbsp; &nbsp;r&nbsp; &nbsp; &nbsp;r&nbsp; &nbsp; &nbsp;l&nbsp; &nbsp; &nbsp;r&nbsp; &nbsp; &nbsp;r&nbsp; &nbsp; &nbsp;r&nbsp; &nbsp; &nbsp;r</p>
<p>&nbsp;</p>
<p>Based on this sample, estimate the proportion of the population that prefers to write with their left hand.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",15-Feb,15-Feb,,,24873
PRABMSEU,1,Fill-in-the-blank(s),Numeric,"<p>Find the value of the expression.</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>-</mo><mfrac><mn>2</mn><mn>5</mn></mfrac><mo>&#160;</mo><mo>&#183;</mo><mo>&#160;</mo><mfenced><mrow><mo>-</mo><mfrac><mn>3</mn><mn>4</mn></mfrac></mrow></mfenced></math></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",10-Mar,10-Mar,,,26005
PRABESKQ,1,Fill-in-the-blank(s),Numeric,"<p>The graph of a proportional relationship contains the point with coordinates (3, 12). What is the constant of proportionality of the relationship?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",4,4,,,25520
PSBEXG,3,Fill-in-the-blank(s),Numeric,"<p>What is the constant of proportionality? &nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> &nbsp;sale dollars per original dollar</p>",0.8,0.8,,,24963
PRABMSEV,1,Fill-in-the-blank(s),Numeric,"<p>Find the value of the expression.</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>8</mn><mn>3</mn></mfrac><mo>&#160;</mo><mo>&#183;</mo><mo>&#160;</mo><mo>-</mo><mn>42</mn></math></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",-112,-112,,,26296
PSBFCE,4,Fill-in-the-blank(s),Numeric,"<p>What is the value of <em>c</em>?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",4,4,,,27276
PSBFCE,1,Fill-in-the-blank(s),Numeric,"<p>All of the points in the picture are on the same line.</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/420874.jpg"" alt="""" width=""384"" height=""391""></p>
<p>&nbsp;</p>
<p>Find the slope of the line.</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",3,3,,,27019
PSBC9S5,1,Fill-in-the-blank(s),Numeric,"<p>What is <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>5</mn><mn>6</mn></mfrac><mo>&#160;</mo><mo>&#247;</mo><mo>&#160;</mo><mfrac><mn>1</mn><mn>12</mn></mfrac></math>?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",10,10,,,517656
PSBGGY,1,Fill-in-the-blank(s),Numeric,"<p>Solve the problem below.</p>
<p>&nbsp;</p>
<p>21 is what percentage of 30? &nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r>%</p>",70,70,,,33653
PSBCBEC,2,Fill-in-the-blank(s),Numeric,"<p>Find the answer. Draw a diagram, if needed.</p>
<p>&nbsp;</p>
<p>A set of books that are each 1.5 inches wide are being organized on a bookshelf that is 36 inches wide. How many books can fit on the shelf?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> books</p>",24,24,,,351353
PRABEGMJ,1,Fill-in-the-blank(s),Numeric,"<p>A cone has volume <math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>12</mn><mi mathvariant=""normal"">π</mi></math> cubic inches. Its height is 4 inches. What is its radius?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> inches</p>",3,3,,,27930
PSBFVZ,1,Fill-in-the-blank(s),Numeric,"<p>Diego made 6 boxes of spaghetti to feed 20 people who attended his dinner party. Next time, 50 people are coming! How many boxes of spaghetti should Diego buy to feed all those people? &nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> boxes of spaghetti</p>",15,15,,,30276
PSBFYQ,2,Fill-in-the-blank(s),Numeric,"<p>Elena bought 8 tokens for&nbsp;$4.40. At this rate:</p>
<p>&nbsp;</p>
<p>How much do 19 tokens cost?</p>
<p>&nbsp;</p>
<p>$<ast-r type=""text"" marker=""1""></ast-r></p>",10.45,10.45,,,30779
PSBFYQ,1,Fill-in-the-blank(s),Numeric,"<p>Elena bought 8 tokens for&nbsp;$4.40. At this rate:</p>
<p>&nbsp;</p>
<p>How many tokens could she buy with $6.05? &nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> tokens</p>",11,11,,,30604
PSBDNUV,1,Fill-in-the-blank(s),Numeric,"<p>What is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>3</mn><mn>4</mn></mfrac><mo>&#247;</mo><mfrac><mn>1</mn><mn>8</mn></mfrac></math>?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",6,6,,,587537
PRABQMPS,1,Fill-in-the-blank(s),Numeric,"<p>Compute&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfenced><mrow><mn>4</mn><mo>,</mo><mn>803</mn></mrow></mfenced><mo>&#160;</mo><mo>&#183;</mo><mo>&#160;</mo><mn>95</mn></math>.</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>","456,285","456,285",,,284725
PSBF75,1,Fill-in-the-blank(s),Numeric,"<p>Solve&nbsp;the problem below.</p>
<p>&nbsp;</p>
<p>What is 25% of 160?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",40,40,,,32069
PSBF26,1,Fill-in-the-blank(s),Numeric,"<p>A snail travels 10 cm in 4 minutes. At this rate:</p>
<p>&nbsp;</p>
<p>How long will it take the snail to travel 24 cm?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> minutes</p>",9.6,9.6,,,31058
PSBGBH,1,Fill-in-the-blank(s),Numeric,"<p>Solve&nbsp;the problem below.</p>
<p>&nbsp;</p>
<p>What is 150% of 32?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",48,48,,,32696
PSBF9P,1,Fill-in-the-blank(s),Numeric,"<p>Solve&nbsp;the problem below.</p>
<p>&nbsp;</p>
<p>What is 39% of 200?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",78,78,,,32378
PSBGC8,1,Fill-in-the-blank(s),Numeric,"<p>Solve&nbsp;the problem below.</p>
<p>&nbsp;</p>
<p>13 is 50% of what number?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",26,26,,,33021
PSBGGX,2,Fill-in-the-blank(s),Numeric,"<p>What is the slope of the line you graphed?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",-1,-1,,,33513
PSBGE8,1,Fill-in-the-blank(s),Numeric,"<p>Solve&nbsp;the problem below.</p>
<p>&nbsp;</p>
<p>18&nbsp;is 120% of what number?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",15,15,,,33334
PRABQKZE,1,Fill-in-the-blank(s),Numeric,"<p>Compute&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfenced><mrow><mn>3</mn><mo>,</mo><mn>902</mn></mrow></mfenced><mo>&#183;</mo><mn>85</mn></math>.</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",331670,331670,,,457114
PSBG2Q,2,Fill-in-the-blank(s),Algebraic Expression,"<p>What is the volume of the cone? Express your answer in terms of <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">&#960;</mi></math>.</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""2""></ast-r>cubic units</p>
<p><em><span style=""font-weight: 400;"">Use pi to represent the&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">&#960;</mi></math> symbol. For example: 32&pi; would be typed as 32pi</span></em></p>",36pi,36pi,,,36673
PSBG69,2,Fill-in-the-blank(s),Numeric,"<p>What fraction of the daily recommended value of iron is in 1 cup of oatmeal?</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",15-Feb,15-Feb,,,37276
PSBBZUE,1,Fill-in-the-blank(s),Exact Fraction,"<p>A teacher asked all the students in one class how many minutes it takes them to get to school. Here is a table of their responses:<br><br></p>
<table style=""border-collapse: collapse; width: 99.9406%;"" border=""1"">
<tbody>
<tr>
<td style=""width: 12.4781%; text-align: center;""><span style=""font-size: 12pt;"">20</span></td>
<td style=""width: 12.4781%; text-align: center;""><span style=""font-size: 12pt;"">10</span></td>
<td style=""width: 12.4781%; text-align: center;""><span style=""font-size: 12pt;"">15</span></td>
<td style=""width: 12.4781%; text-align: center;""><span style=""font-size: 12pt;"">8</span></td>
<td style=""width: 12.4781%; text-align: center;""><span style=""font-size: 12pt;"">5</span></td>
<td style=""width: 12.4781%; text-align: center;""><span style=""font-size: 12pt;"">15</span></td>
<td style=""width: 12.4781%; text-align: center;""><span style=""font-size: 12pt;"">10</span></td>
<td style=""width: 12.4922%; text-align: center;""><span style=""font-size: 12pt;"">5</span></td>
</tr>
<tr>
<td style=""width: 12.4781%; text-align: center;""><span style=""font-size: 12pt;"">20</span></td>
<td style=""width: 12.4781%; text-align: center;""><span style=""font-size: 12pt;"">5</span></td>
<td style=""width: 12.4781%; text-align: center;""><span style=""font-size: 12pt;"">15</span></td>
<td style=""width: 12.4781%; text-align: center;""><span style=""font-size: 12pt;"">10</span></td>
<td style=""width: 12.4781%; text-align: center;""><span style=""font-size: 12pt;"">3</span></td>
<td style=""width: 12.4781%; text-align: center;""><span style=""font-size: 12pt;"">10</span></td>
<td style=""width: 12.4781%; text-align: center;""><span style=""font-size: 12pt;"">18</span></td>
<td style=""width: 12.4922%; text-align: center;""><span style=""font-size: 12pt;"">5</span></td>
</tr>
<tr>
<td style=""width: 12.4781%; text-align: center;""><span style=""font-size: 12pt;"">25</span></td>
<td style=""width: 12.4781%; text-align: center;""><span style=""font-size: 12pt;"">5</span></td>
<td style=""width: 12.4781%; text-align: center;""><span style=""font-size: 12pt;"">5</span></td>
<td style=""width: 12.4781%; text-align: center;""><span style=""font-size: 12pt;"">12</span></td>
<td style=""width: 12.4781%; text-align: center;""><span style=""font-size: 12pt;"">10</span></td>
<td style=""width: 12.4781%; text-align: center;""><span style=""font-size: 12pt;"">30</span></td>
<td style=""width: 12.4781%; text-align: center;""><span style=""font-size: 12pt;"">5</span></td>
<td style=""width: 12.4922%; text-align: center;""><span style=""font-size: 12pt;"">10</span></td>
</tr>
</tbody>
</table>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>What fraction of the students in this class say it takes them 5 minutes to get to school?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",24-Jul,24-Jul,,,297138
